start_time,end_time,id,val
19-Nov-2008 22:59:13,19-Nov-2008 22:59:41,23,1
19-Nov-2008 22:59:53,19-Nov-2008 23:00:04,30,1
19-Nov-2008 23:00:06,20-Nov-2008 00:15:08,30,1
19-Nov-2008 23:00:27,19-Nov-2008 23:00:32,23,1
20-Nov-2008 00:15:11,20-Nov-2008 00:15:12,30,1
20-Nov-2008 00:15:29,20-Nov-2008 00:39:16,30,1
20-Nov-2008 00:15:42,20-Nov-2008 00:16:06,23,1
20-Nov-2008 00:39:19,20-Nov-2008 10:42:22,30,1
20-Nov-2008 00:39:24,20-Nov-2008 00:39:25,18,1
20-Nov-2008 00:39:28,20-Nov-2008 00:39:41,23,1
20-Nov-2008 00:39:46,20-Nov-2008 00:39:49,23,1
20-Nov-2008 00:39:54,20-Nov-2008 00:39:55,23,1
20-Nov-2008 10:41:57,20-Nov-2008 10:42:19,23,1
20-Nov-2008 10:42:30,20-Nov-2008 10:42:31,23,1
20-Nov-2008 10:42:32,20-Nov-2008 10:42:33,23,1
20-Nov-2008 10:42:35,20-Nov-2008 10:42:36,23,1
20-Nov-2008 10:42:41,20-Nov-2008 10:42:42,23,1
20-Nov-2008 10:42:50,20-Nov-2008 13:17:40,27,1
20-Nov-2008 10:42:53,20-Nov-2008 10:42:54,23,1
20-Nov-2008 10:42:55,20-Nov-2008 10:43:54,30,1
20-Nov-2008 10:43:23,20-Nov-2008 10:47:10,23,1
20-Nov-2008 10:43:58,20-Nov-2008 10:45:05,30,1
20-Nov-2008 10:44:37,20-Nov-2008 10:44:38,18,1
20-Nov-2008 10:45:08,20-Nov-2008 10:45:21,30,1
20-Nov-2008 10:45:26,20-Nov-2008 10:45:28,30,1
20-Nov-2008 10:45:37,20-Nov-2008 13:11:46,30,1
20-Nov-2008 10:45:39,20-Nov-2008 10:45:40,18,1
20-Nov-2008 10:45:41,20-Nov-2008 10:45:42,18,1
20-Nov-2008 10:45:44,20-Nov-2008 10:45:45,18,1
20-Nov-2008 10:45:50,20-Nov-2008 10:45:51,18,1
20-Nov-2008 10:46:02,20-Nov-2008 10:46:03,18,1
20-Nov-2008 10:46:26,20-Nov-2008 10:46:27,18,1
20-Nov-2008 10:47:03,20-Nov-2008 10:47:04,18,1
20-Nov-2008 10:47:39,20-Nov-2008 10:47:40,18,1
20-Nov-2008 13:11:27,20-Nov-2008 13:11:42,23,1
20-Nov-2008 13:12:08,20-Nov-2008 13:13:07,30,1
20-Nov-2008 13:12:11,20-Nov-2008 13:12:12,18,1
20-Nov-2008 13:12:19,20-Nov-2008 13:12:20,18,1
20-Nov-2008 13:12:45,20-Nov-2008 13:12:46,23,1
20-Nov-2008 13:13:04,20-Nov-2008 13:13:05,18,1
20-Nov-2008 13:13:11,20-Nov-2008 13:13:38,30,1
20-Nov-2008 13:13:43,20-Nov-2008 13:14:08,30,1
20-Nov-2008 13:14:14,20-Nov-2008 13:15:41,30,1
20-Nov-2008 13:15:44,20-Nov-2008 13:16:37,30,1
20-Nov-2008 13:16:41,20-Nov-2008 17:27:45,30,1
20-Nov-2008 13:17:42,21-Nov-2008 11:39:22,27,1
20-Nov-2008 13:17:50,20-Nov-2008 13:17:51,18,1
20-Nov-2008 13:22:42,20-Nov-2008 17:27:40,23,1
20-Nov-2008 17:28:06,20-Nov-2008 17:29:25,30,1
20-Nov-2008 17:28:18,21-Nov-2008 11:34:29,7,1
20-Nov-2008 17:29:39,20-Nov-2008 17:31:44,30,1
20-Nov-2008 17:31:55,20-Nov-2008 17:38:06,30,1
20-Nov-2008 17:33:50,24-Nov-2008 15:45:28,20,1
20-Nov-2008 17:33:57,20-Nov-2008 17:33:58,18,1
20-Nov-2008 17:33:59,20-Nov-2008 17:34:00,18,1
20-Nov-2008 17:34:02,20-Nov-2008 17:34:03,18,1
20-Nov-2008 17:34:08,20-Nov-2008 17:34:09,18,1
20-Nov-2008 17:34:27,20-Nov-2008 17:37:42,23,1
20-Nov-2008 17:34:45,20-Nov-2008 17:34:46,18,1
20-Nov-2008 17:37:43,20-Nov-2008 17:37:44,23,1
20-Nov-2008 17:38:23,20-Nov-2008 22:55:15,30,1
20-Nov-2008 17:38:28,20-Nov-2008 17:38:29,18,1
20-Nov-2008 17:38:30,20-Nov-2008 17:38:31,18,1
20-Nov-2008 17:38:32,20-Nov-2008 17:38:33,18,1
20-Nov-2008 17:43:21,20-Nov-2008 17:43:22,23,1
20-Nov-2008 17:43:24,20-Nov-2008 17:43:25,23,1
20-Nov-2008 17:53:55,20-Nov-2008 17:53:56,18,1
20-Nov-2008 17:53:58,20-Nov-2008 17:53:59,18,1
20-Nov-2008 17:53:59,20-Nov-2008 17:54:00,18,1
20-Nov-2008 17:55:20,20-Nov-2008 17:55:24,23,1
20-Nov-2008 18:13:44,20-Nov-2008 18:13:47,23,1
20-Nov-2008 22:55:18,21-Nov-2008 11:33:58,30,1
21-Nov-2008 11:33:32,21-Nov-2008 11:33:49,23,1
21-Nov-2008 11:34:16,21-Nov-2008 11:34:27,30,1
21-Nov-2008 11:34:42,21-Nov-2008 11:38:36,7,1
21-Nov-2008 11:34:44,21-Nov-2008 11:37:34,30,1
21-Nov-2008 11:36:50,21-Nov-2008 11:36:51,18,1
21-Nov-2008 11:37:37,21-Nov-2008 11:39:03,30,1
21-Nov-2008 11:38:44,24-Nov-2008 00:12:29,7,1
21-Nov-2008 11:39:06,21-Nov-2008 13:44:22,30,1
21-Nov-2008 11:39:24,21-Nov-2008 11:39:25,27,1
21-Nov-2008 11:39:26,21-Nov-2008 11:39:27,27,1
21-Nov-2008 11:39:28,21-Nov-2008 11:39:29,18,1
21-Nov-2008 11:39:31,21-Nov-2008 11:39:32,18,1
21-Nov-2008 11:39:35,21-Nov-2008 11:39:36,27,1
21-Nov-2008 11:39:49,21-Nov-2008 13:42:44,27,1
21-Nov-2008 11:41:34,21-Nov-2008 11:41:37,23,1
21-Nov-2008 13:42:57,22-Nov-2008 10:23:45,27,1
21-Nov-2008 13:43:59,21-Nov-2008 13:44:00,23,1
